temperature,current,SoC,r1
298.15,4.850233554840088,0.9995046681436818,0.0102671998663306
298.15,2.660430431365967,0.9239624755397916,0.011279892628593
298.15,2.660465240478516,0.8133518504862287,0.0074304457786181
298.15,2.660435199737549,0.7135669265747956,0.0082096848888317
298.15,2.66042423248291,0.6146946225546164,0.0100291369014676
298.15,2.660403251647949,0.5070347214914604,0.0066926116938513
298.15,2.660440921783448,0.4265470527477571,0.0115597354846648
298.15,2.6604323387146,0.3324411227518582,0.0199968176757417
298.15,2.66036319732666,0.2232497711319085,0.0063398432415774
298.15,2.660385608673096,0.1240360664109412,0.0284959410369903
